"location","c130","height"
"DomLIM09051",105,28
"DomLIM09051",105,28
"DomLIM09051",105,40
"DomLIM09051",105,40
"DomLIM09051",105,40
"DomLIM09051",115,24.5
"DomLIM09051",125,18.5
"DomLIM09051",125,22.5
"DomLIM09051",125,22.5
"DomLIM09051",125,23
"DomLIM09051",125,23.5
"DomLIM09051",125,25.5
"DomLIM09051",125,26.5
"DomLIM09051",125,26.5
"DomLIM09051",125,26.5
"DomLIM09051",125,26.5
"DomLIM09051",125,26.5
"DomLIM09051",125,27.5
"DomLIM09051",125,28
"DomLIM09051",125,29
"DomLIM09051",125,29.5
"DomLIM09051",125,31
"DomLIM09051",125,31.5
"DomLIM09051",125,34
"DomLIM09051",125,34.5
"DomLIM09051",135,22.5
"DomLIM09051",135,25
"DomLIM09051",135,25.5
"DomLIM09051",135,26
"DomLIM09051",135,26
"DomLIM09051",135,27
"DomLIM09051",135,27.5
"DomLIM09051",135,27.5
"DomLIM09051",135,27.5
"DomLIM09051",135,28
"DomLIM09051",135,28
"DomLIM09051",135,28.5
"DomLIM09051",135,28.5
"DomLIM09051",135,30
"DomLIM09051",135,30.5
"DomLIM09051",135,30.5
"DomLIM09051",135,31
"DomLIM09051",135,31.5
"DomLIM09051",135,31.5
"DomLIM09051",135,32.5
"DomLIM09051",135,32.5
"DomLIM09051",135,33
"DomLIM09051",145,26
"DomLIM09051",145,26.5
"DomLIM09051",145,27.5
"DomLIM09051",145,27.5
"DomLIM09051",145,27.5
"DomLIM09051",145,27.5
"DomLIM09051",145,28
"DomLIM09051",145,28
"DomLIM09051",145,28.5
"DomLIM09051",145,29.5
"DomLIM09051",145,31.5
"DomLIM09051",145,33
"DomLIM09051",145,33.5
"DomLIM09051",145,33.5
"DomLIM09051",145,34
"DomLIM09051",145,35
"DomLIM09051",155,21.5
"DomLIM09051",155,25.5
"DomLIM09051",155,26
"DomLIM09051",155,26
"DomLIM09051",155,26.5
"DomLIM09051",155,27
"DomLIM09051",155,27
"DomLIM09051",155,27.5
"DomLIM09051",155,28.5
"DomLIM09051",155,28.5
"DomLIM09051",155,28.5
"DomLIM09051",155,29.5
"DomLIM09051",155,29.5
"DomLIM09051",155,30
"DomLIM09051",155,30.5
"DomLIM09051",155,33
"DomLIM09051",155,36.5
"DomLIM09051",165,23.5
"DomLIM09051",165,26.5
"DomLIM09051",165,27
"DomLIM09051",165,27
"DomLIM09051",165,27
"DomLIM09051",165,27.5
"DomLIM09051",165,27.5
"DomLIM09051",165,28.5
"DomLIM09051",165,29
"DomLIM09051",165,29
"DomLIM09051",165,30
"DomLIM09051",165,30
"DomLIM09051",165,30
"DomLIM09051",165,30.5
"DomLIM09051",165,31
"DomLIM09051",165,31
"DomLIM09051",175,25
"DomLIM09051",175,26
"DomLIM09051",175,26
"DomLIM09051",175,26.5
"DomLIM09051",175,27.5
"DomLIM09051",175,27.5
"DomLIM09051",175,29
"DomLIM09051",175,29
"DomLIM09051",175,31
"DomLIM09051",175,31.5
"DomLIM09051",175,31.5
"DomLIM09051",175,31.5
"DomLIM09051",175,32
"DomLIM09051",175,40
"DomLIM09051",185,23.5
"DomLIM09051",185,26
"DomLIM09051",185,27
"DomLIM09051",185,28
"DomLIM09051",185,29.5
"DomLIM09051",185,31.5
"DomLIM09051",185,32
"DomLIM09051",185,32.5
"DomLIM09051",185,34.5
"DomLIM09051",185,35.5
"DomLIM09051",185,40
"DomLIM09051",185,40
"DomLIM09051",195,27.5
"DomLIM09051",195,27.5
"DomLIM09051",195,28.5
"DomLIM09051",195,28.5
"DomLIM09051",195,30
"DomLIM09051",195,30.5
"DomLIM09051",195,31
"DomLIM09051",195,31.5
"DomLIM09051",195,40
"DomLIM09051",195,40
"DomLIM09051",195,40
"DomLIM09051",205,31.5
"DomLIM09051",205,31.5
"DomLIM09051",215,32.5
"DomLIM09051",215,34
"DomLIM09051",215,36
"DomLIM09051",215,40
"DomLIM09051",215,40
"DomLIM09051",225,32.5
"DomLIM09051",225,40
"DomLIM09051",235,30.5
"DomLIM09401",75,25
"DomLIM09401",75,34
"DomLIM09401",85,19
"DomLIM09401",85,22
"DomLIM09401",85,22
"DomLIM09401",95,21
"DomLIM09401",95,22
"DomLIM09401",105,21
"DomLIM09401",105,22.5
"DomLIM09401",115,22
"DomLIM09401",115,22
"DomLIM09401",115,22
"DomLIM09401",115,23
"DomLIM09401",115,24
"DomLIM09401",115,24
"DomLIM09401",115,24
"DomLIM09401",115,25
"DomLIM09401",115,25
"DomLIM09401",115,26
"DomLIM09401",115,26
"DomLIM09401",115,27
"DomLIM09401",115,32
"DomLIM09401",125,21
"DomLIM09401",125,21
"DomLIM09401",125,23
"DomLIM09401",125,23.5
"DomLIM09401",125,24
"DomLIM09401",125,24
"DomLIM09401",125,24
"DomLIM09401",125,24
"DomLIM09401",125,24
"DomLIM09401",125,24
"DomLIM09401",125,25
"DomLIM09401",125,25
"DomLIM09401",125,25
"DomLIM09401",125,25.5
"DomLIM09401",125,26
"DomLIM09401",125,26
"DomLIM09401",125,26
"DomLIM09401",125,26.5
"DomLIM09401",125,27
"DomLIM09401",125,27
"DomLIM09401",125,27
"DomLIM09401",125,27
"DomLIM09401",125,27
"DomLIM09401",125,28
"DomLIM09401",125,31
"DomLIM09401",135,23
"DomLIM09401",135,23
"DomLIM09401",135,24
"DomLIM09401",135,24
"DomLIM09401",135,24
"DomLIM09401",135,24
"DomLIM09401",135,24
"DomLIM09401",135,24
"DomLIM09401",135,25
"DomLIM09401",135,25
"DomLIM09401",135,25
"DomLIM09401",135,25
"DomLIM09401",135,25
"DomLIM09401",135,25
"DomLIM09401",135,25
"DomLIM09401",135,25
"DomLIM09401",135,25.5
"DomLIM09401",135,25.5
"DomLIM09401",135,26
"DomLIM09401",135,26
"DomLIM09401",135,26
"DomLIM09401",135,26
"DomLIM09401",135,26
"DomLIM09401",135,27
"DomLIM09401",135,27
"DomLIM09401",135,27.5
"DomLIM09401",135,29
"DomLIM09401",135,29
"DomLIM09401",135,30
"DomLIM09401",135,33
"DomLIM09401",135,33
"DomLIM09401",135,33
"DomLIM09401",135,36
"DomLIM09401",135,37
"DomLIM09401",135,38
"DomLIM09401",135,39
"DomLIM09401",145,25
"DomLIM09401",145,25
"DomLIM09401",145,26
"DomLIM09401",145,26
"DomLIM09401",145,26
"DomLIM09401",145,26
"DomLIM09401",145,27
"DomLIM09401",145,27
"DomLIM09401",145,27
"DomLIM09401",145,27
"DomLIM09401",145,27
"DomLIM09401",145,28
"DomLIM09401",145,28
"DomLIM09401",145,28
"DomLIM09401",145,28
"DomLIM09401",145,28
"DomLIM09401",145,28
"DomLIM09401",145,28
"DomLIM09401",145,28
"DomLIM09401",145,28.5
"DomLIM09401",145,28.5
"DomLIM09401",145,28.5
"DomLIM09401",145,28.8
"DomLIM09401",145,29
"DomLIM09401",145,29
"DomLIM09401",145,29
"DomLIM09401",145,29
"DomLIM09401",145,29
"DomLIM09401",145,29.5
"DomLIM09401",145,29.5
"DomLIM09401",145,32
"DomLIM09401",145,33
"DomLIM09401",145,36
"DomLIM09401",145,36
"DomLIM09401",145,37
"DomLIM09401",145,39
"DomLIM09401",145,39
"DomLIM09401",155,26
"DomLIM09401",155,26
"DomLIM09401",155,27
"DomLIM09401",155,27
"DomLIM09401",155,27
"DomLIM09401",155,27.5
"DomLIM09401",155,28
"DomLIM09401",155,28
"DomLIM09401",155,28
"DomLIM09401",155,28
"DomLIM09401",155,28
"DomLIM09401",155,29
"DomLIM09401",155,29
"DomLIM09401",155,30
"DomLIM09401",155,30
"DomLIM09401",155,30
"DomLIM09401",155,30
"DomLIM09401",155,30
"DomLIM09401",155,30
"DomLIM09401",155,31
"DomLIM09401",155,31
"DomLIM09401",155,31
"DomLIM09401",155,31
"DomLIM09401",155,32
"DomLIM09401",155,32
"DomLIM09401",155,32
"DomLIM09401",155,33
"DomLIM09401",155,33
"DomLIM09401",155,33
"DomLIM09401",155,33
"DomLIM09401",155,33
"DomLIM09401",155,34
"DomLIM09401",155,35
"DomLIM09401",155,37
"DomLIM09401",155,37.5
"DomLIM09401",155,38
"DomLIM09401",155,38
"DomLIM09401",155,39
"DomLIM09401",155,39
"DomLIM09401",155,41
"DomLIM09401",165,28
"DomLIM09401",165,28.5
"DomLIM09401",165,29
"DomLIM09401",165,29
"DomLIM09401",165,29
"DomLIM09401",165,29
"DomLIM09401",165,29
"DomLIM09401",165,29
"DomLIM09401",165,29.5
"DomLIM09401",165,31
"DomLIM09401",165,31
"DomLIM09401",165,31
"DomLIM09401",165,31
"DomLIM09401",165,32
"DomLIM09401",165,32
"DomLIM09401",165,32
"DomLIM09401",165,33
"DomLIM09401",165,33
"DomLIM09401",165,34
"DomLIM09401",165,34
"DomLIM09401",165,34
"DomLIM09401",165,35
"DomLIM09401",165,35
"DomLIM09401",165,35
"DomLIM09401",165,35
"DomLIM09401",165,35.5
"DomLIM09401",165,37
"DomLIM09401",165,37.5
"DomLIM09401",165,38
"DomLIM09401",165,38
"DomLIM09401",165,38
"DomLIM09401",165,39
"DomLIM09401",165,39
"DomLIM09401",165,39
"DomLIM09401",165,39
"DomLIM09401",165,43
"DomLIM09401",175,27
"DomLIM09401",175,28
"DomLIM09401",175,28.5
"DomLIM09401",175,30
"DomLIM09401",175,30
"DomLIM09401",175,31
"DomLIM09401",175,31.1
"DomLIM09401",175,32
"DomLIM09401",175,32
"DomLIM09401",175,33
"DomLIM09401",175,34
"DomLIM09401",175,34
"DomLIM09401",175,35
"DomLIM09401",175,36
"DomLIM09401",175,36
"DomLIM09401",175,37
"DomLIM09401",175,37
"DomLIM09401",175,38
"DomLIM09401",175,38
"DomLIM09401",175,40
"DomLIM09401",185,25
"DomLIM09401",185,29
"DomLIM09401",185,30
"DomLIM09401",185,30
"DomLIM09401",185,30
"DomLIM09401",185,30.5
"DomLIM09401",185,31
