eser,mdau,mspe,nlei,nnoc,paur,pnat,ppip,timestamp,size,length
0,0,0,1,0,0,0,1,2017-07-22T21:53:14Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T23:28:28Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:26:50Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:28:48Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:54:42Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:54:38Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:03:38Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:50:44Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T22:54:02Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T22:53:54Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T23:08:58Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T22:50:24Z,4194272,5
2,0,0,1,0,0,0,1,2017-07-22T23:23:40Z,4194272,5
1,0,0,0,0,0,0,2,2017-07-22T23:29:08Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:50:40Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T22:38:34Z,4194272,5
0,0,0,0,0,1,0,2,2017-07-22T23:23:32Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:47:38Z,4194272,5
0,0,0,0,0,0,0,4,2017-07-22T23:23:50Z,8388544,10
0,0,0,0,0,0,0,3,2017-07-22T23:27:20Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:22:40Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:00:12Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:22:10Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:44:16Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:21:54Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T22:18:04Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:00:56Z,4194272,5
2,0,0,0,0,0,0,1,2017-07-22T23:17:28Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:00:50Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:47:20Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T22:26:52Z,4194272,5
